Laser id,Elevation,Azimuth
1,7.258,-0.025
2,6.257,-0.025
3,5.251,-0.026
4,4.243,-0.026
5,3.23,-2.54
6,2.217,-2.541
7,1.882,2.49
8,1.536,-5.042
9,1.202,-2.541
10,0.867,2.49
11,0.521,-5.042
12,0.186,-2.541
13,-0.153,2.49
14,-0.491,-5.042
15,-0.83,-0.026
16,-1.169,2.49
17,-1.506,-5.042
18,-1.845,-0.026
19,-2.183,4.998
20,-2.521,-2.541
21,-2.859,-0.026
22,-3.196,4.998
23,-3.533,-2.54
24,-3.871,-0.026
25,-4.204,4.997
26,-4.546,-2.54
27,-4.88,2.49
28,-5.211,4.997
29,-5.552,-2.539
30,-5.885,2.49
31,-6.886,2.49
32,-7.882,2.49
33,-8.872,-0.024
34,-9.856,-0.023
35,-10.833,-0.023
36,-11.802,-0.022
37,-12.759,-2.528
38,-13.71,-2.526
39,-14.651,-2.523
40,-15.581,-2.521